Pieridae Abaeis nicippe
Tortricidae Bactra verutana
Noctuidae Bagisara gulnare
Noctuidae Bagisara rectifascia
Nolidae Baileya australis
Nolidae Baileya dormitans
Nolidae Baileya doubledayi
Nolidae Baileya levitans
Nolidae Baileya ophthalmica
Noctuidae Balsa labecula
Noctuidae Balsa malana
Noctuidae Balsa tristrigella
Batrachedridae Batrachedra illusor
Batrachedridae Batrachedra praeangusta
Gelechiidae Battaristis concinnusella
Gelechiidae Battaristis concinusella
Gelechiidae Battaristis nigratomella
Gelechiidae Battaristis vittella
Papilionidae Battus philenor
Bedelliidae Bedellia somnulentella
Noctuidae Bellura densa
Noctuidae Bellura obliqua
Pyralidae Bema neuricella
Geometridae Besma quercivoraria
Depressariidae Bibarrambla allenella
Geometridae Biston betularia
Blastobasidae Blastobasis floridella
Blastobasidae Blastobasis glandulella
Blastobasidae Blastobasis pulchella
Blastobasidae Blastobasis yuccaecolella
Crambidae Blepharomastix ranalis
Erebidae Bleptina caradrinalis
Erebidae Bleptina inferior
Nymphalidae Boloria bellona
Nymphalidae Boloria frigga
Nymphalidae Boloria selene
Carposinidae Bondia crescentella
Noctuidae Brachionycha borealis
Noctuidae Brachylomia discinigra
Choreutidae Brenthia pavonacella
Bucculatricidae Bucculatrix adelpha
Bucculatricidae Bucculatrix ainsliella
Bucculatricidae Bucculatrix anaticula
Bucculatricidae Bucculatrix angustata
Bucculatricidae Bucculatrix canadensisella
Bucculatricidae Bucculatrix coronatella
Bucculatricidae Bucculatrix eclecta
Bucculatricidae Bucculatrix inusitata
Bucculatricidae Bucculatrix montana
Bucculatricidae Bucculatrix platyphylla
Bucculatricidae Bucculatrix pomifoliella
Bucculatricidae Bucculatrix simulans
Bucculatricidae Bucculatrix staintonella
Erebidae Bulia deducta
Geometridae Cabera erythemaria
Geometridae Cabera quadrifasciaria
Geometridae Cabera variolaria
Tortricidae Cacoecimorpha pronubana
Pyralidae Cadra cautella
Erebidae Caenurgia chloropha
Erebidae Caenurgina crassiuscula
Erebidae Caenurgina erechtea
Uraniidae Calledapteryx dryopterata
Uraniidae Callizzia amorata
Lycaenidae Callophrys augustinus
Lycaenidae Callophrys gryneus
Lycaenidae Callophrys henrici
Lycaenidae Callophrys niphon
Noctuidae Callopistria cordata
Noctuidae Callopistria floridensis
Noctuidae Callopistria mollissima
Saturniidae Callosamia angulifera
Saturniidae Callosamia promethea
Gracillariidae Caloptilia azaleella
Gracillariidae Caloptilia belfragella
Gracillariidae Caloptilia bimaculatella
Gracillariidae Caloptilia blandella
Gracillariidae Caloptilia cornusella
Gracillariidae Caloptilia fraxinella
Gracillariidae Caloptilia hypericella
Gracillariidae Caloptilia murtfeldtella
Gracillariidae Caloptilia negundella
Gracillariidae Caloptilia ostryaeella
Gracillariidae Caloptilia ovatiella
Gracillariidae Caloptilia packardella
Gracillariidae Caloptilia rhoifoliella
Gracillariidae Caloptilia sassafrasella
Gracillariidae Caloptilia stigmatella
Gracillariidae Caloptilia strictella
Gracillariidae Caloptilia superbifrontella
Gracillariidae Caloptilia triadicae
Gracillariidae Caloptilia umbratella
Gracillariidae Caloptilia violacella
Lycaenidae Calycopis cecrops
Erebidae Calyptra canadensis
Gracillariidae Cameraria aceriella
Gracillariidae Cameraria aesculisella
Gracillariidae Cameraria australisella
Gracillariidae Cameraria bethunella
Gracillariidae Cameraria caryaefoliella
Gracillariidae Cameraria cincinnatiella
Gracillariidae Cameraria conglomeratella
Gracillariidae Cameraria corylisella
Gracillariidae Cameraria fletcherella
Gracillariidae Cameraria guttifinitella
Gracillariidae Cameraria hamadryadella
Gracillariidae Cameraria hamameliella
Gracillariidae Cameraria macrocarpella
Gracillariidae Cameraria ostryarella
Gracillariidae Cameraria platanoidiella
Gracillariidae Cameraria quercivorella
Gracillariidae Cameraria saccharella
Gracillariidae Cameraria ulmella
Geometridae Campaea perlata
Pyralidae Canarsia ulmiarrosorella
Noctuidae Capsula laeta
Noctuidae Capsula oblonga
Noctuidae Capsula subflava
Noctuidae Caradrina montana
Geometridae Caripeta divisata
Sesiidae Carmenta anthracipennis
Sesiidae Carmenta bassiformis
Sesiidae Carmenta ithacae
Sesiidae Carmenta mimuli
Sesiidae Carmenta pyralidiformis
Oecophoridae Carolana ascriptella
Tortricidae Carolella sartana
Carposinidae Carposina fernaldana
Carposinidae Carposina sasakii
Hesperiidae Carterocephalus palaemon
Noctuidae Catabena lineolata
Noctuidae Catabena sagittata
Tortricidae Catastega aceriella
Tortricidae Catastega timidella
Erebidae Catocala abbreviatella
Erebidae Catocala alabamae
Erebidae Catocala amatrix
Erebidae Catocala amestris
Erebidae Catocala amica
Erebidae Catocala andromedae
Erebidae Catocala angusi
Erebidae Catocala antinympha
Erebidae Catocala blandula
Erebidae Catocala cara
Erebidae Catocala cerogama
Erebidae Catocala clintonii
Erebidae Catocala coccinata
Erebidae Catocala concumbens
Erebidae Catocala connubialis
Erebidae Catocala consors
Erebidae Catocala crataegi
Erebidae Catocala dejecta
Erebidae Catocala dulciola
Erebidae Catocala epione
Erebidae Catocala flebilis
Erebidae Catocala gracilis
Erebidae Catocala grynea
Erebidae Catocala habilis
Erebidae Catocala ilia
Erebidae Catocala illecta
Erebidae Catocala innubens
Erebidae Catocala insolabilis
Erebidae Catocala judith
Erebidae Catocala junctura
Erebidae Catocala lacrymosa
Erebidae Catocala lineella
Erebidae Catocala luctuosa
Erebidae Catocala maestosa
Erebidae Catocala marmorata
Erebidae Catocala meskei
Erebidae Catocala micronympha
Erebidae Catocala minuta
Erebidae Catocala mira
Erebidae Catocala muliercula
Erebidae Catocala nebulosa
Erebidae Catocala neogama
Erebidae Catocala nuptialis
Erebidae Catocala obscura
Erebidae Catocala palaeogama
Erebidae Catocala parta
Erebidae Catocala piatrix
Erebidae Catocala praeclara
Erebidae Catocala relicta
Erebidae Catocala residua
Erebidae Catocala retecta
Erebidae Catocala robinsonii
Erebidae Catocala serena
Erebidae Catocala similis
Erebidae Catocala sordida
Erebidae Catocala subnata
Erebidae Catocala ulalume
Erebidae Catocala ultronia
Erebidae Catocala umbrosa
Erebidae Catocala unijuga
Erebidae Catocala vidua
Erebidae Catocala whitneyi
Adelidae Cauchas dietziella
Lycaenidae Celastrina ladon
Lycaenidae Celastrina neglecta
Erebidae Celiptera frustulum
Tortricidae Celypha cespitana
Tortricidae Cenopis cana
Tortricidae Cenopis diluticostana
Tortricidae Cenopis directana
Tortricidae Cenopis karacana
Tortricidae Cenopis mesospila
Tortricidae Cenopis niveana
Tortricidae Cenopis pettitana
Tortricidae Cenopis reticulatana
Tineidae Cephitinea obscurostrigella
Geometridae Cepphis armataria
Noctuidae Cerastis tenebrifera
Sphingidae Ceratomia amyntor
Sphingidae Ceratomia catalpae
Sphingidae Ceratomia hageni
Sphingidae Ceratomia undulosa
Nymphalidae Cercyonis pegala
Noctuidae Cerma cerintha
Noctuidae Cerma cora
Crambidae Chalcoela iphitalis
Crambidae Chalcoela pegasalis
Noctuidae Charadra deridens
Batrachedridae Chedra pensor
Tortricidae Chimoptesis gerulae
Tortricidae Chimoptesis pennsylvaniana
Gelechiidae Chionodes acrina
Gelechiidae Chionodes bibo
Gelechiidae Chionodes bicostomaculella
Gelechiidae Chionodes cacula
Gelechiidae Chionodes canor
Gelechiidae Chionodes cautor
Gelechiidae Chionodes continuella
Gelechiidae Chionodes discoocellella
Gelechiidae Chionodes ensis
Gelechiidae Chionodes fondella
Gelechiidae Chionodes formosella
Gelechiidae Chionodes fuscomaculella
Gelechiidae Chionodes imber
Gelechiidae Chionodes johnstoni
Gelechiidae Chionodes lactans
Gelechiidae Chionodes mediofuscella
Gelechiidae Chionodes obelus
Gelechiidae Chionodes obscurusella
Gelechiidae Chionodes pereyra
Gelechiidae Chionodes permacta
Gelechiidae Chionodes praeclarella
Gelechiidae Chionodes pseudofondella
Gelechiidae Chionodes thoraceochrella
Noctuidae Chloridea subflexa
Noctuidae Chloridea virescens
Geometridae Chlorochlamys chloroleucaria
Nymphalidae Chlosyne gorgone
Nymphalidae Chlosyne nycteis
Noctuidae Choephora fungorum
Choreutidae Choreutis pariana
Tortricidae Choristoneura conflictana
Tortricidae Choristoneura fractivittana
Tortricidae Choristoneura fumiferana
Tortricidae Choristoneura houstonana
Tortricidae Choristoneura obsoletana
Tortricidae Choristoneura parallela
Tortricidae Choristoneura pinus
Tortricidae Choristoneura rosaceana
Tortricidae Choristoneura zapulata
Gracillariidae Chrysaster ostensackenella
Crambidae Chrysendeton medicinalis
Elachistidae Chrysoclista linneella
Noctuidae Chrysodeixis includens
Gelechiidae Chrysoesthia drurella
Gelechiidae Chrysoesthia lingulacella
Gelechiidae Chrysoesthia sexguttella
Crambidae Chrysoteuchia topiarius
Erebidae Chytolita morbidalis
Noctuidae Chytonix palliatricula
Mimallonidae Cicinnus melsheimeri
Noctuidae Cirrhophanus triangulifer
Erebidae Cisseps fulvicollis
Erebidae Cissusa spadix
Erebidae Cisthene plumbea
Erebidae Cisthene subjecta
Saturniidae Citheronia regalis
Geometridae Cladara atroliturata
Erebidae Clemensia albata
Geometridae Cleora sublunaria
Tortricidae Clepsis clemensiana
Tortricidae Clepsis consimilana
Tortricidae Clepsis listerana
Tortricidae Clepsis melaleucana
Tortricidae Clepsis melaleucanus
Tortricidae Clepsis moeschleriana
Tortricidae Clepsis peritana
Tortricidae Clepsis persicana
Tortricidae Clepsis virescana
Notodontidae Clostera albosigma
Notodontidae Clostera apicalis
Notodontidae Clostera inclusa
Notodontidae Clostera strigosa
Pyralidae Clydonopteron sacculana
Pterophoridae Cnaemidophorus rhododactyla
Crambidae Cnaphalocrocis trapezalis
Tortricidae Cochylis aurorana
Tortricidae Cochylis bucera
Tortricidae Cochylis caulocatax
Tortricidae Cochylis hoffmanana
Tortricidae Cochylis hospes
